test_id|tags|script|scope_patterns|notes
gf-newtab-fresh-clean|critical,recovery|testing/test-newmux-gf-newtab-fresh-clean.sh|testing/test-newmux-gf-newtab-fresh-clean.sh|Command + T must open a fresh clean tab and not reattach deleted recoverable state.
gf-direct-launch-no-login-wrapper|critical,recovery,startup|testing/test-newmux-gf-direct-launch-no-login-wrapper.sh|ghostty-config/newmux.config:scripts/open-newmux-ghostty.sh:scripts/start-newmux-fresh.sh:ghostty-src/src/termio/Exec.zig:testing/test-newmux-gf-direct-launch-no-login-wrapper.sh|Ghostty/Newmux tabs must launch directly without raw startup exec input or macOS login wrapper delay.
gf-fast-restore-attach|critical,recovery,startup|testing/test-newmux-gf-fast-restore-attach.sh|testing/test-newmux-gf-fast-restore-attach.sh:scripts/request-newmux-restore-tab.sh:scripts/start-newmux-fresh.sh:ghostty-config/newmux.config:config/newmux-dev.tmux.conf|Command + Shift + T should request restore, open a native tab, claim the latest recoverable window at startup, and represent it quickly.
gf-shift-t-noop-empty|critical,recovery|testing/test-newmux-gf-shift-t-noop-empty.sh|testing/test-newmux-gf-shift-t-noop-empty.sh|Command + Shift + T must be a no-op when recovery stack is empty.
gf-empty-delete-not-recovered|critical,recovery|testing/test-newmux-gf-empty-delete-not-recovered.sh|testing/test-newmux-gf-empty-delete-not-recovered.sh|Empty panes/windows must not be added to the recovery stack.
gf-recover-layout-locality|critical,recovery|testing/test-newmux-gf-recover-layout-locality.sh|testing/test-newmux-gf-recover-layout-locality.sh|Restored pane should return to its original layout position and process.
gf-typed-history-pane-recovery|critical,recovery|testing/test-newmux-gf-typed-history-pane-recovery.sh|testing/test-newmux-gf-typed-history-pane-recovery.sh|Typed terminal history, including ten ls commands and codex, must survive pane delete and restore.
gf-typed-history-window-recovery|critical,recovery|testing/test-newmux-gf-typed-history-window-recovery.sh|testing/test-newmux-gf-typed-history-window-recovery.sh|Typed terminal history, including ten ls commands and codex, must survive window delete and restore.
gf-tab-lifo-explicit-restore|critical,recovery|testing/test-newmux-gf-tab-lifo-explicit-restore.sh|testing/test-newmux-gf-tab-lifo-explicit-restore.sh:scripts/request-newmux-restore-tab.sh:scripts/start-newmux-fresh.sh:tmux/commands/cmd-newmux-recovery.c|Deleted tabs restore in LIFO order by explicit restored window id, even with stale unrepresented windows present.
gf-five-tab-restore-order-latency|manual,recovery|testing/test-newmux-gf-five-tab-restore-order-latency.sh|testing/test-newmux-gf-five-tab-restore-order-latency.sh:scripts/request-newmux-restore-tab.sh:scripts/start-newmux-fresh.sh:tmux/commands/cmd-newmux-recovery.c|Manual diagnostic only: five native Ghostty/Newmux tabs with mixed submitted and unsubmitted text delete in opened order, restore LIFO, preserve content, and record restore latency.
